Order_ID,Date,Customer,City,Category,Product,Quantity,Sales,Profit
1001,2026-01-05,Arun,Coimbatore,Technology,Laptop,1,55000,7000
1002,2026-01-08,Ravi,Chennai,Furniture,Chair,4,12000,2400
1003,2026-01-12,Priya,Madurai,Office Supplies,Notebook,10,2500,500
1004,2026-01-15,Kumar,Salem,Technology,Mouse,5,3000,750
1005,2026-01-20,Divya,Coimbatore,Furniture,Table,2,18000,3600
1006,2026-01-25,Arun,Chennai,Office Supplies,Pen,20,1000,200
1007,2026-02-02,Ravi,Madurai,Technology,Keyboard,3,4500,900
1008,2026-02-07,Priya,Salem,Furniture,Desk,1,15000,3000
1009,2026-02-14,Kumar,Coimbatore,Technology,Monitor,2,24000,4800
1010,2026-02-18,Divya,Chennai,Office Supplies,File,15,3000,600
1011,2026-02-22,Arun,Madurai,Technology,Printer,1,12000,2400
1012,2026-03-01,Ravi,Salem,Furniture,Chair,6,18000,3600
1013,2026-03-05,Priya,Coimbatore,Office Supplies,Notebook,25,6250,1250
1014,2026-03-10,Kumar,Chennai,Technology,Laptop,2,110000,14000
1015,2026-03-15,Divya,Madurai,Furniture,Table,3,27000,5400
